X,Y,Estancias,icon_url
-67.0263397662165,-47.7011872029374,El Sacrificio,./0.png
-67.2237046904867,-47.7440348820398,Estancia El Laurel,./1.png
-67.2999063538082,-47.8604702605231,Estancia La Ester,./2.png
-67.350508418062,-47.869288092724,Estancia El condor,./3.png
